dataset_pid,has_funder_agency_ror_in_hdv,has_funderIdentifier_in_datacite,title,version_state,latest_version,first_version_created,major_version_publication_time,dataset_last_updated,file_count,citationText,dataverse_collection_alias,dataverse_name
doi:10.7910/DVN/GKHQTR,TRUE,,Gleaning Scoping Study in Mozambique,RELEASED,1,2026-06-30T06:52:38Z,2026-06-30T07:20:22Z,2026-06-30T07:20:22Z,3,"Bonilla Anariba, Sara; Salencia, Helena, 2026, ""Gleaning Scoping Study in Mozambique"", https://doi.org/10.7910/DVN/GKHQTR, Harvard Dataverse, V1",worldfish,WorldFish Dataverse
doi:10.7910/DVN/GKY9Q5,TRUE,,Data and Code for: Time is not money: an experiment with community contribution requirements in cash and labour,RELEASED,4,2025-02-14T17:35:10Z,2026-08-07T12:24:02Z,2026-08-07T12:24:02Z,803,"Serena Cocciolo; ghisolfi, selene; Habib, Md Ahasan; Tompsett, Anna, 2025, ""Data and Code for: Time is not money: an experiment with community contribution requirements in cash and labour"", https://doi.org/10.7910/DVN/GKY9Q5, Harvard Dataverse, V4, UNF:6:HbEHZNJ1P07XfcA1TjBlLw== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/GPDAPN,TRUE,,"Replication Data for: ""Can free academia withstand democratic backsliding? Why some universities wither while others survive""",RELEASED,1,2025-07-24T07:39:52Z,2025-10-20T06:04:24Z,2025-10-20T06:04:24Z,38,"Lott, Lars; Kinzelbach, Katrin; Lindberg, Staffan I., 2025, ""Replication Data for: ""Can free academia withstand democratic backsliding? Why some universities wither while others survive"""", https://doi.org/10.7910/DVN/GPDAPN, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/GXY45B,TRUE,,Replication Data for: Financial Aid and Upward Mobility: Evidence from Colombia's Ser Pilo Paga,RELEASED,1.1,2025-06-16T20:28:17Z,2025-06-16T22:05:10Z,2025-10-31T20:06:21Z,381,"LONDONO-VELEZ, JULIANA; Sanchez Torres, Fabio; Catherine Rodriguez; Alvarez-Arango, Luis Esteban, 2025, ""Replication Data for: Financial Aid and Upward Mobility: Evidence from Colombia's Ser Pilo Paga"", https://doi.org/10.7910/DVN/GXY45B, Harvard Dataverse, V1, UNF:6:j6VBRGB74YEsC36JF74XCQ== [fileUNF]",JPE,Journal of Political Economy
doi:10.7910/DVN/GY04RG,TRUE,,A5279: Phase III Clinical Trial of Short-Course Rifapentine/Isoniazid for the Prevention of Active Tuberculosis in HIV-Infected Adults with Latent Tuberculosis Infection,RELEASED,3.1,2025-09-26T14:22:02Z,2026-03-04T14:36:47Z,2026-03-18T15:05:19Z,9,"ACTG Statistical and Data Analysis Center, 2025, ""A5279: Phase III Clinical Trial of Short-Course Rifapentine/Isoniazid for the Prevention of Active Tuberculosis in HIV-Infected Adults with Latent Tuberculosis Infection"", https://doi.org/10.7910/DVN/GY04RG, Harvard Dataverse, V3",ACTG,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections 
doi:10.7910/DVN/H7RQ2Y,TRUE,,"TYRO Champion Dads: Father-focused, Interconnected, Resilient, and Essential (FIRE) Healthy Marriage and Responsible Fatherhood (HMRF) Study",RELEASED,1,2025-05-02T19:12:26Z,2025-08-14T22:43:55Z,2025-08-14T22:43:55Z,15,"Midwest Evaluation and Research, 2025, ""TYRO Champion Dads: Father-focused, Interconnected, Resilient, and Essential (FIRE) Healthy Marriage and Responsible Fatherhood (HMRF) Study"", https://doi.org/10.7910/DVN/H7RQ2Y, Harvard Dataverse, V1",HMRF2020-2025,2020-2025 Healthy Marriage & Responsible Fatherhood
doi:10.7910/DVN/HH1YUN,TRUE,,Replication Data for: Estimating the Impact of Drone Strikes on Civilians Using Call Detail Records,RELEASED,1.1,2025-08-20T18:59:38Z,2025-10-31T06:06:30Z,2025-11-06T09:00:48Z,185,"Bertolotti, Paolo; Milliff, Aidan; Christia, Fotini; Jadbabaie, Ali, 2025, ""Replication Data for: Estimating the Impact of Drone Strikes on Civilians Using Call Detail Records"", https://doi.org/10.7910/DVN/HH1YUN, Harvard Dataverse, V1, UNF:6:QLDwOhJjDLOBdQDW6ioh1A== [fileUNF]",BJPolS,British Journal of Political Science Dataverse
doi:10.7910/DVN/HKVLDW,TRUE,,Envisioning a “Next Generation” Primary Health Care Community Platform for Accelerating Progress in Achieving Universal Health Coverage and Health for All,RELEASED,2.1,2024-05-16T14:32:06Z,2026-07-14T03:42:49Z,2026-07-14T03:52:07Z,3,"De Broucker, Gatien; Perry, Henry B.; Ozawa, Sachiko; Tam, Yvonne; Inagaki, Yoko; Schmidt, Austin; Dyson, Jaclyn; Rao, Krishna; Momanyi, Maureen; Christensen, Megan; Shafique, Fouzia, 2024, ""Envisioning a “Next Generation” Primary Health Care Community Platform for Accelerating Progress in Achieving Universal Health Coverage and Health for All"", https://doi.org/10.7910/DVN/HKVLDW, Harvard Dataverse, V2",harvard,Harvard Dataverse
doi:10.7910/DVN/HMXJLK,TRUE,,"Replication Data for: Kenyan fisheries catch data - catch, effort, and fishing area expansion (1995–2018)",RELEASED,1,2026-02-17T12:38:09Z,2026-02-20T21:41:02Z,2026-02-20T21:41:02Z,2,"McClanahan, Timothy, 2026, ""Replication Data for: Kenyan fisheries catch data - catch, effort, and fishing area expansion (1995–2018)"", https://doi.org/10.7910/DVN/HMXJLK, Harvard Dataverse, V1, UNF:6:K3V8Pt/o6lUVxgsDwKdB8A== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/HOI7YM,TRUE,,Public access data for NICU Ototoxicity Repository,RELEASED,4,2025-09-21T00:16:16Z,2025-10-24T21:54:31Z,2025-10-24T21:54:31Z,5,"Garinis, Angie; Ramsey, Katrina L.; Baudier, Robin; Elman, Miriam; Putterman, Daniel B.; Tharpe, Anne Marie; Anderson-Berry, Ann; Steyger, Peter, 2025, ""Public access data for NICU Ototoxicity Repository"", https://doi.org/10.7910/DVN/HOI7YM, Harvard Dataverse, V4",NICU-audiorep,NICU Ototoxicity Repository
doi:10.7910/DVN/HOMGFB,TRUE,,Data for: Coherent optical two-photon resonance tomographic imaging in three dimensions,RELEASED,1.2,2023-01-02T15:07:22Z,2023-01-03T17:45:58Z,2025-07-11T11:37:36Z,7,"Mazelanik, Mateusz; Leszczyński, Adam; Szawełło, Tomasz; Parniak, Michał, 2023, ""Data for: Coherent optical two-photon resonance tomographic imaging in three dimensions"", https://doi.org/10.7910/DVN/HOMGFB, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/HXGINS,TRUE,,Ca2+ release-reuptake kinetics,RELEASED,1,2025-03-06T05:36:45Z,2025-09-18T16:04:27Z,2025-09-18T16:04:27Z,90,"Methawasin, Mei; Meinke, Stefan; Radke, Michael; Farman, Gerrie; Hourani, Zaynab; Smith, John Edward III; guo, wei; Granzier, Henk; Gotthardt, Michael, 2025, ""Ca2+ release-reuptake kinetics"", https://doi.org/10.7910/DVN/HXGINS, Harvard Dataverse, V1",rbm20asoin2hitmice,Rbm20 antisense oligonucleotides alleviate diastolic dysfunction in a mouse model of cardiometabolic heart failure (HFpEF).
doi:10.7910/DVN/HY1BNQ,TRUE,,"Dataset for: Breast Milk Cytokines and Infant Growth Trajectories in a Low-Income Community in Dhaka, Bangladesh",RELEASED,1.1,2026-03-20T14:31:35Z,2026-03-20T14:46:56Z,2026-03-20T14:51:34Z,2,"Siew, Jasmine; Nelson, Charles, 2026, ""Dataset for: Breast Milk Cytokines and Infant Growth Trajectories in a Low-Income Community in Dhaka, Bangladesh"", https://doi.org/10.7910/DVN/HY1BNQ, Harvard Dataverse, V1, UNF:6:NQjNizlXak+7S46FncjYtA== [fileUNF]",bean,Bangladesh Early Adversity Neuroimaging (BEAN) Project
doi:10.7910/DVN/HYJDE0,TRUE,,GlobalDiplomacyNet Dataset,RELEASED,2.1,2025-10-10T12:26:30Z,2025-10-14T12:43:54Z,2025-10-14T14:10:29Z,498,"MUĞURTAY, NİHAT; Sirin, Kaan Guray; Heshmat Najafabad, Mehrdad; Kahya, Ahmet Taha; Goktug Yılmaz; Zouzou, Yasser; Batuhan Bahceci; Ayca Demir; Dogukan Tosun; muftuler-bac, meltem; Varol, Onur, 2025, ""GlobalDiplomacyNet Dataset"", https://doi.org/10.7910/DVN/HYJDE0, Harvard Dataverse, V2",harvard,Harvard Dataverse
doi:10.7910/DVN/I2QV7Q,TRUE,,Data for : Long-lived collective Rydberg excitations in atomic gas achieved via ac-Stark lattice modulation,RELEASED,1.1,2024-02-10T21:18:22Z,2024-02-10T22:26:54Z,2025-07-11T16:03:15Z,1,"Kurzyna, Stanisław; Niewelt, Bartosz; Mazelanik, Mateusz; Wasilewski, Wojciech; Parniak, Michał, 2024, ""Data for : Long-lived collective Rydberg excitations in atomic gas achieved via ac-Stark lattice modulation"", https://doi.org/10.7910/DVN/I2QV7Q, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/IGHFOI,TRUE,,HVTN 505 T-cell Immune Correlates of Risk (2017 JID),RELEASED,1.2,2025-04-22T19:05:38Z,2025-07-08T17:31:08Z,2026-06-02T20:58:19Z,5,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN 505 T-cell Immune Correlates of Risk (2017 JID)"", https://doi.org/10.7910/DVN/IGHFOI, Harvard Dataverse, V1, UNF:6:6LJVKR6CVvCtriUixI7+QA== [fileUNF]",hvtn505,HVTN 505 Dataverse
doi:10.7910/DVN/IGUD4U,TRUE,,Intravital Microscopy Data,DRAFT,DRAFT,2026-03-13T11:49:49Z,,2026-09-03T12:53:17Z,1,"Nurkiewicz, Timothy, 2026, ""Intravital Microscopy Data"", https://doi.org/10.7910/DVN/IGUD4U, Harvard Dataverse, DRAFT VERSION",R21_ES034942,Timothy Nurkiewicz Dataverse
doi:10.7910/DVN/II2DB6,TRUE,,Cumulative CES Common Content,RELEASED,12,2018-01-17T00:14:11Z,2026-07-14T14:49:08Z,2026-07-14T14:49:08Z,4,"Kuriwaki, Shiro, 2026, ""Cumulative CES Common Content"", https://doi.org/10.7910/DVN/II2DB6, Harvard Dataverse, V12",cces,CCES Dataverse
doi:10.7910/DVN/IIFW1O,TRUE,,Arab Migrants and Diaspora Relationships Survey,RELEASED,3.1,2025-11-01T20:54:00Z,2025-11-24T23:23:13Z,2026-02-01T23:53:28Z,5,"Eldemerdash, Nadia, 2025, ""Arab Migrants and Diaspora Relationships Survey"", https://doi.org/10.7910/DVN/IIFW1O, Harvard Dataverse, V3, UNF:6:+71z95OdB+MjJfsa13coVw== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/IK38SW,TRUE,,"DISDEM-ECOPOL Spain Protest Dataset, 2000-2020",RELEASED,1,2025-10-03T14:14:42Z,2025-10-07T02:22:25Z,2025-10-07T02:22:25Z,4,"Romanos, Eduardo; Dolenec, Danijela; Sádaba Rodríguez, Igor; López-Roche, Daniel; Balković, Ana; Širinić, Daniela; Kralj, Karlo, 2025, ""DISDEM-ECOPOL Spain Protest Dataset, 2000-2020"", https://doi.org/10.7910/DVN/IK38SW, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/IKA13C,TRUE,,Replication Data for: Fairness Across the World,RELEASED,1,2026-08-07T09:40:30Z,2026-08-10T09:18:08Z,2026-08-10T09:18:08Z,8,"Almås, Ingvild; cappelen, alexander; Sørensen, Erik Ø.; Tungodden, Bertil, 2026, ""Replication Data for: Fairness Across the World"", https://doi.org/10.7910/DVN/IKA13C, Harvard Dataverse, V1, UNF:6:e/y189PPL7L0QHk9yfkb4Q== [fileUNF]",fair,"FAIR - Centre for Experimental Research on Fairness, Inequality and Rationality"
doi:10.7910/DVN/IKBNRL,TRUE,,ParlaIbero-CL: Parliamentary Speeches from Chile (1990-2025),RELEASED,2,2026-08-18T13:56:58Z,2026-09-07T13:33:26Z,2026-09-07T13:33:26Z,17,"Rodrigues-Silveira, Rodrigo; Miranda Olivares, Nicolás, 2026, ""ParlaIbero-CL: Parliamentary Speeches from Chile (1990-2025)"", https://doi.org/10.7910/DVN/IKBNRL, Harvard Dataverse, V2",parlaibero,"ParlaIbero: Parliamentary Speeches from Latin America, Portugal and Spain"
doi:10.7910/DVN/IPMRDN,TRUE,,HVTN 702 STI manuscript (PLOS Global Public Health),RELEASED,1.2,2025-04-15T17:42:00Z,2025-05-21T22:40:18Z,2026-06-02T21:01:15Z,5,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN 702 STI manuscript (PLOS Global Public Health)"", https://doi.org/10.7910/DVN/IPMRDN, Harvard Dataverse, V1, UNF:6:NUYee1tBfInVSc8Nb3sgMg== [fileUNF]",hvtn702,HVTN 702 Dataverse
doi:10.7910/DVN/IQCWGR,TRUE,,"ACTG 320: A Randomized, Double-Blind, Phase III Study of Indinavir Sulfate (IDV) with Open-Label ZDV or Stavudine (d4T) and Lamivudine (3TC) in Subjects with HIV Infection with < or = 200 CD4 Cell Counts and > or = 3 Months of Prior Zidovudine (ZDV)",RELEASED,2.1,2025-09-02T14:18:30Z,2026-02-09T18:52:09Z,2026-03-18T16:18:38Z,9,"ACTG Statistical and Data Analysis Center, 2025, ""ACTG 320: A Randomized, Double-Blind, Phase III Study of Indinavir Sulfate (IDV) with Open-Label ZDV or Stavudine (d4T) and Lamivudine (3TC) in Subjects with HIV Infection with < or = 200 CD4 Cell Counts and > or = 3 Months of Prior Zidovudine (ZDV)"", https://doi.org/10.7910/DVN/IQCWGR, Harvard Dataverse, V2",ACTG,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections 
doi:10.7910/DVN/IVNYID,TRUE,,ParlaIbero-AR: Parliamentary Speeches from Argentina (1983-2025),RELEASED,2,2026-08-18T13:56:55Z,2026-09-07T13:12:35Z,2026-09-07T13:12:35Z,17,"Rodrigues-Silveira, Rodrigo, 2026, ""ParlaIbero-AR: Parliamentary Speeches from Argentina (1983-2025)"", https://doi.org/10.7910/DVN/IVNYID, Harvard Dataverse, V2",parlaibero,"ParlaIbero: Parliamentary Speeches from Latin America, Portugal and Spain"
doi:10.7910/DVN/IXFFC2,TRUE,,American Local Legislator Survey 2025,DRAFT,DRAFT,2026-08-31T09:41:58Z,,2026-09-07T09:45:35Z,2,"Häfner, Leonard; Crowder-Meyer, Melody; Landwehr, Claudia; Stallbaum, Lea, 2026, ""American Local Legislator Survey 2025"", https://doi.org/10.7910/DVN/IXFFC2, Harvard Dataverse, DRAFT VERSION, UNF:6:hQ33EiiV5cqtRgB0H7/C+g== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/J0Q9TO,TRUE,,Financial Feasibility Maps of Solar Irrigation Under Climate Change in Africa,RELEASED,3,2025-11-17T20:36:33Z,2026-02-20T03:11:04Z,2026-02-20T03:11:04Z,430,"International Food Policy Research Institute (IFPRI), 2025, ""Financial Feasibility Maps of Solar Irrigation Under Climate Change in Africa"", https://doi.org/10.7910/DVN/J0Q9TO, Harvard Dataverse, V3, UNF:6:1vt/zNCZFvdhctkiD7V4PQ== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/J2KYGN,TRUE,,eJSL dialog,RELEASED,2.1,2025-12-18T11:43:09Z,2026-05-25T13:35:43Z,2026-05-26T10:24:50Z,3,"Funakoshi, Kotaro, 2026, ""eJSL dialog"", https://doi.org/10.7910/DVN/J2KYGN, Harvard Dataverse, V2",eJSL,Emotional Japanese Sign Language Dataverse
doi:10.7910/DVN/J65L1Y,TRUE,,2023 Social Accounting Matrix for Sri Lanka,RELEASED,1,2025-08-25T16:29:17Z,2025-09-25T19:34:43Z,2025-09-25T19:34:43Z,3,"International Food Policy Research Institute (IFPRI), 2025, ""2023 Social Accounting Matrix for Sri Lanka"", https://doi.org/10.7910/DVN/J65L1Y, Harvard Dataverse, V1, UNF:6:8H65mo6tYMDzMSAc/etdyA== [fileUNF]",sam,Nexus SAM
doi:10.7910/DVN/J7NBBN,TRUE,,HVTN 505 Antibody and T-Cell Immune Correlates of Risk (2018 JID),RELEASED,1.3,2025-04-22T21:22:03Z,2025-07-08T17:31:21Z,2026-06-02T20:57:09Z,8,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN 505 Antibody and T-Cell Immune Correlates of Risk (2018 JID)"", https://doi.org/10.7910/DVN/J7NBBN, Harvard Dataverse, V1, UNF:6:1eaRRZ7TaRhEKLvY/OM8hQ== [fileUNF]",hvtn505,HVTN 505 Dataverse
doi:10.7910/DVN/JFMLYK,TRUE,,The Effects of a Secondary School Scholarship on School Progression and Youth Outcomes: Endline Survey,RELEASED,1,2026-05-13T19:45:01Z,2026-07-02T16:03:02Z,2026-07-02T16:03:02Z,12,"International Food Policy Research Institute (IFPRI), 2026, ""The Effects of a Secondary School Scholarship on School Progression and Youth Outcomes: Endline Survey"", https://doi.org/10.7910/DVN/JFMLYK, Harvard Dataverse, V1, UNF:6:aVgk/Z2i5OxRQvs5lCXNvA== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/JI2FUM,TRUE,,HVTN 702 correlates manuscript (Journal of Infectious Diseases),RELEASED,1.2,2025-04-15T16:40:51Z,2025-05-21T22:40:38Z,2026-06-02T21:00:26Z,5,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN 702 correlates manuscript (Journal of Infectious Diseases)"", https://doi.org/10.7910/DVN/JI2FUM, Harvard Dataverse, V1, UNF:6:U5RcBT+PnAbXlFQy232LXg== [fileUNF]",hvtn702,HVTN 702 Dataverse
doi:10.7910/DVN/JK0KDF,TRUE,,Data from: Robust estimation of key leaf traits from reflectance spectroscopy of herbarium specimens,RELEASED,1,2026-02-25T19:44:03Z,2026-04-01T17:04:53Z,2026-04-01T17:04:53Z,1,"Lee, Aaron; Lauren Vander Esch; Jin Oong; Fredericksen, Brett; Juan Ramirez-Lerma; J. Antonio Guzmán; White, Dawson; Whitfeld, Timothy; Meireles, Jose Eduardo; Cavender-Bares, Jeannine; Yang, Ya, 2026, ""Data from: Robust estimation of key leaf traits from reflectance spectroscopy of herbarium specimens"", https://doi.org/10.7910/DVN/JK0KDF, Harvard Dataverse, V1",iherbspec,IHerbSpec
doi:10.7910/DVN/JNGUK5,TRUE,,Valence-Free Open Nanoparticle Superlattices,RELEASED,1.1,2025-11-24T17:53:55Z,2025-11-24T19:46:49Z,2026-02-13T17:42:00Z,1,"Nayak, Binay, 2025, ""Valence-Free Open Nanoparticle Superlattices"", https://doi.org/10.7910/DVN/JNGUK5, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/JQVK0V,TRUE,,Reproductive Healthcare Desert (RHD) Database,RELEASED,1,2026-01-26T12:07:46Z,2026-08-11T04:42:25Z,2026-08-11T04:42:25Z,3,"Sennott, Christie A; Yeatman, Sara; Gunther, Matt, 2026, ""Reproductive Healthcare Desert (RHD) Database"", https://doi.org/10.7910/DVN/JQVK0V, Harvard Dataverse, V1, UNF:6:8AFZQFRTDkePoDhNBkH4+w== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/JSVRC4,TRUE,,Restricted access data for NICU Ototoxicity Repository,RELEASED,2,2025-09-21T00:25:05Z,2025-10-20T21:59:35Z,2025-10-20T21:59:35Z,3,"Garinis, Angie; Ramsey, Katrina L.; Baudier, Robin; Elman, Miriam; Putterman, Daniel B.; Tharpe, Anne Marie; Anderson-Berry, Ann; Steyger, Peter, 2025, ""Restricted access data for NICU Ototoxicity Repository"", https://doi.org/10.7910/DVN/JSVRC4, Harvard Dataverse, V2, UNF:6:5dAbEKIwX/qrscaeKPDYxg== [fileUNF]",NICU-audiorep,NICU Ototoxicity Repository
doi:10.7910/DVN/JVJQ5N,TRUE,,Code to create the Master Address File - Migration Flows (MAF-MIF) dataset.,RELEASED,1.1,2026-07-30T21:31:50Z,2026-07-30T21:33:23Z,2026-07-30T21:37:56Z,12,"McConnell, Kathryn; Sandler, Austin; Ozdogan, Selen; Fussell, Elizabeth, 2026, ""Code to create the Master Address File - Migration Flows (MAF-MIF) dataset."", https://doi.org/10.7910/DVN/JVJQ5N, Harvard Dataverse, V1",brown,Brown University Dataverse
doi:10.7910/DVN/JY2NCG,TRUE,,Spinal cord fMRI data: 3T data processed without NORDIC denoising,RELEASED,1.1,2026-03-03T21:44:40Z,2026-03-04T02:57:22Z,2026-04-09T14:05:29Z,22,"Rangaprakash, D; Barry, Robert, 2026, ""Spinal cord fMRI data: 3T data processed without NORDIC denoising"", https://doi.org/10.7910/DVN/JY2NCG, Harvard Dataverse, V1",spinalcordfmriBSL,Spinal cord functional MRI data acquired in 3T and 7T scanners in healthy individuals
doi:10.7910/DVN/K6NFJW,TRUE,,PROMISE 1077BF: Evaluating Strategies to Reduce Mother-to-Child Transmission of HIV Infection in Resource-Limited Countries (PROMISE) – Breast Feeding Cohort,RELEASED,2.1,2025-10-31T17:27:06Z,2026-02-09T19:18:02Z,2026-03-18T16:48:56Z,10,"IMPAACT Statistical and Data Analysis Center, 2025, ""PROMISE 1077BF: Evaluating Strategies to Reduce Mother-to-Child Transmission of HIV Infection in Resource-Limited Countries (PROMISE) – Breast Feeding Cohort"", https://doi.org/10.7910/DVN/K6NFJW, Harvard Dataverse, V2",IMPAACT,International Maternal Pediatric Adolescent AIDS Clinical Trials Network
doi:10.7910/DVN/KETAJF,TRUE,,Polskie Generalne Studium Wyborcze 2023 (PGSW 2023) / Polish National Election Study 2023 (POLNES 2023),RELEASED,1.2,2025-06-02T17:54:37Z,2025-06-02T18:21:13Z,2026-04-08T08:47:07Z,10,"Cześnik, Mikołaj; Sychowiec, Maciej; Szczupska, Oliwia; Markowski, Radosław; Stanley, Ben; Wenzel, Michał; Żerkowska-Balas, Marta; Zaremba, Mateusz; Zagórski, Piotr; Nowakowski, Wiktor; Grzębowski, Michał, 2025, ""Polskie Generalne Studium Wyborcze 2023 (PGSW 2023) / Polish National Election Study 2023 (POLNES 2023)"", https://doi.org/10.7910/DVN/KETAJF, Harvard Dataverse, V1, UNF:6:SK25qfy82NlsDkYfAOYxbg== [fileUNF]",polnes,Polish National Election Study
doi:10.7910/DVN/KI1AOC,TRUE,,ParlaIbero-UY: Parliamentary Speeches from Uruguay (1985-2025),RELEASED,2,2026-08-18T13:58:16Z,2026-09-07T13:15:17Z,2026-09-07T13:15:17Z,17,"Rodrigues-Silveira, Rodrigo; Gutiérrez Oria, Óscar, 2026, ""ParlaIbero-UY: Parliamentary Speeches from Uruguay (1985-2025)"", https://doi.org/10.7910/DVN/KI1AOC, Harvard Dataverse, V2",parlaibero,"ParlaIbero: Parliamentary Speeches from Latin America, Portugal and Spain"
doi:10.7910/DVN/KLXZHC,TRUE,,A5264: A Randomized Evaluation of Antiretroviral Therapy Alone or with Delayed Chemotherapy versus Antiretroviral Therapy with Immediate Adjunctive Chemotherapy for Treatment of Limited Stage AIDS-KS in Resource-Limited Settings (REACT-KS) AMC 067,RELEASED,2.1,2025-09-26T14:11:14Z,2026-02-09T18:30:22Z,2026-03-18T16:25:09Z,9,"ACTG Statistical and Data Analysis Center, 2025, ""A5264: A Randomized Evaluation of Antiretroviral Therapy Alone or with Delayed Chemotherapy versus Antiretroviral Therapy with Immediate Adjunctive Chemotherapy for Treatment of Limited Stage AIDS-KS in Resource-Limited Settings (REACT-KS) AMC 067"", https://doi.org/10.7910/DVN/KLXZHC, Harvard Dataverse, V2",ACTG,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections 
doi:10.7910/DVN/KNKWMJ,TRUE,,Radio-Based Multi-Robot Odometry And Localization Dataset,RELEASED,1.1,2025-11-28T12:34:37Z,2025-12-05T17:13:25Z,2026-05-14T20:05:25Z,1,"Martinez Silva, Andres; Alejo, David, 2025, ""Radio-Based Multi-Robot Odometry And Localization Dataset"", https://doi.org/10.7910/DVN/KNKWMJ, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/KYNIZE,TRUE,,"One Nutrition Coverage Survey (ONCS), Bangladesh 2025",RELEASED,1,2026-02-18T20:51:39Z,2026-03-19T15:51:35Z,2026-03-19T15:51:35Z,17,"International Food Policy Research Institute (IFPRI); Johns Hopkins University; International Centre for Diarrhoeal Disease Research, Bangladesh, 2026, ""One Nutrition Coverage Survey (ONCS), Bangladesh 2025"", https://doi.org/10.7910/DVN/KYNIZE, Harvard Dataverse, V1, UNF:6:Runj1Pu+Fa7okMJgRdLKAg== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/LCKCU1,TRUE,,"2023 USAID/IFPRI Population-Based Survey (PBS) for Khatlon Province, Tajikistan",RELEASED,1.1,2025-09-02T20:00:24Z,2025-09-16T21:02:22Z,2025-10-08T18:28:21Z,116,"International Food Policy Research Institute (IFPRI), 2025, ""2023 USAID/IFPRI Population-Based Survey (PBS) for Khatlon Province, Tajikistan"", https://doi.org/10.7910/DVN/LCKCU1, Harvard Dataverse, V1, UNF:6:A7SSOm1i29HpUwyBtaLcsA== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/LKIDNQ,TRUE,,ACTG A5221: Immediate Versus Deferred Start of Anti-HIV Therapy in HIV-Infected Adults Being Treated for Tuberculosis (STRIDE),DRAFT,DRAFT,2026-08-31T15:38:47Z,,2026-08-31T15:44:46Z,8,"ACTG Statistical and Data Analysis Center, 2026, ""ACTG A5221: Immediate Versus Deferred Start of Anti-HIV Therapy in HIV-Infected Adults Being Treated for Tuberculosis (STRIDE)"", https://doi.org/10.7910/DVN/LKIDNQ, Harvard Dataverse, DRAFT VERSION",ACTG,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections 
doi:10.7910/DVN/LSMGLL,TRUE,,2023 Social Accounting Matrix for Sierra Leone,RELEASED,1,2025-08-25T16:29:20Z,2025-09-25T19:34:58Z,2025-09-25T19:34:58Z,3,"International Food Policy Research Institute (IFPRI), 2025, ""2023 Social Accounting Matrix for Sierra Leone"", https://doi.org/10.7910/DVN/LSMGLL, Harvard Dataverse, V1, UNF:6:LjkG0H2D94SimYoCpolVpQ== [fileUNF]",sam,Nexus SAM
doi:10.7910/DVN/LX8X29,TRUE,,CADAS-DR (Dominican Republic),RELEASED,4,2026-03-01T01:06:02Z,2026-08-13T00:29:45Z,2026-08-13T00:29:45Z,4,"Dow, William, 2026, ""CADAS-DR (Dominican Republic)"", https://doi.org/10.7910/DVN/LX8X29, Harvard Dataverse, V4, UNF:6:XmpQy42nzfyw+5PK6T4Asg== [fileUNF]",CADAS,Caribbean American Dementia and Aging Study (CADAS)
doi:10.7910/DVN/LXBD43,TRUE,,IHerbSpec Metadata Spreadsheet v1,RELEASED,2,2025-07-04T15:15:36Z,2025-07-28T14:29:38Z,2025-07-28T14:29:38Z,4,"White, Dawson; IHerbSpec, 2025, ""IHerbSpec Metadata Spreadsheet v1"", https://doi.org/10.7910/DVN/LXBD43, Harvard Dataverse, V2, UNF:6:TQqpS/zt3iB0lUmEnrdqWg== [fileUNF]",plantdiv,Plant Diversity and Ecology 
doi:10.7910/DVN/LXU0WD,TRUE,,AGG Barley - Release 260430,RELEASED,2,2026-04-28T04:52:59Z,2026-06-19T05:32:03Z,2026-06-19T05:32:03Z,6,"Australian Grains Genebank, 2026, ""AGG Barley - Release 260430"", https://doi.org/10.7910/DVN/LXU0WD, Harvard Dataverse, V2, UNF:6:4/327CasODPD3n6L08bmjQ== [fileUNF]",australiangrainsgenebank-genotypedata,Genotype Data
