publisher,persistentUrl,majorVersionNumber,minorVersionNumber,versionCreateTime,license,termsOfUse,confidentialityDeclaration,specialPermissions,restrictions,citationRequirements,depositorRequirements,conditions,disclaimer
Harvard Dataverse,https://doi.org/10.7910/DVN/FW6AQ8,1,0,2019-08-30 16:06:52+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager.",
Harvard Dataverse,https://doi.org/10.7910/DVN/FV5O1I,1,0,2019-11-15 10:57:54+00:00,CC0,CC0 Waiver,,,,"Publications based on this data collection should acknowledge this source by means of bibliographic citation. To ensure that such source attributions are captured for bibliographic utilities, citations must appear in footnotes or in the reference section of publications. The bibliographic citation for this data collection is: ""Nyikuri, Mary; Kumar, Pratap; Jones, Caroline; English, Mike, 2019, ""Extended data for: “But you have to start somewhere….”: Nurses’ perceptions of what is required to provide quality neonatal care in selected hospitals, Kenya."", https://doi.org/10.7910/DVN/FV5O1I, Harvard Dataverse, V1""",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/FA0QPM,1,4,2015-10-15 20:21:39+00:00,CC0,CC0 Waiver,,,,"International Food Policy Research Institute (IFPRI). 2015. Baseline evaluation of the impact of e-verification on counterfeit agricultural inputs and technology adoption in Uganda: Community survey. Washington, DC: International Food Policy Research Institute (IFPRI) [datasets]. <a href=""http://dx.doi.org/10.7910/DVN/FA0QPM""> http://dx.doi.org/10.7910/DVN/FA0QPM</a>",,,"<p>IFPRI adheres to the principle of unrestricted public access to its own final research outputs and will make such outputs freely available. The Institute encourages the use of the <b>Baseline evaluation of the impact of e-verification on counterfeit agricultural inputs and technology adoption in Uganda: Community survey</b> dataset; for detailed information on its use, please refer to <a href=""http://www.ifpri.org/ourwork/about/intellectual-property"">IFPRI’s Intellectual Property Policy</a>. The data files in this dataset are unit record or ‘raw’ data files. Information that would allow survey respondents to be identified has been deleted from the files, but all other information remains. IFPRI’s decision not to alter the contents of the data files  means that the user of these files will need to take care in handling missing observations, outliers, and violations of logical consistency. </p>

<p>The data are provided ‘as is’ and in no event shall IFPRI be liable for any damages resulting from use of the data. While great effort was taken to obtain high-quality data, the accuracy or reliability of the data is not guaranteed or warranted in any way.</P>
"
Harvard Dataverse,https://doi.org/10.7910/DVN/FATPSG,1,0,2018-03-04 18:50:07+00:00,CC0,CC0 Waiver,,,,"We are pleased to have other researchers make use of this data for their own algorithm development and understanding of respiratory monitoring with RF devices. We ask that you cite the following article if you make use of this data in your research.
<br><br>
<blockquote>
P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. </blockquote>",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/EZSJ1S,1,2,2019-06-27 14:55:13+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/FIRFQI,1,0,2019-11-15 01:35:47+00:00,CC0,CC0 Waiver,,,,"Please cite the dataset and ""The perils of personalism"" (details included in the description). This paper describes how the data were collected and generated.",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/FHCCWY,2,0,2021-02-11 15:21:29+00:00,CC0,CC0 Waiver,,,,"The data in this repository (""Partisanship in Worldwide Presidential Elections"") is freely available for research purposes, on the condition of citing the original paper:

Girardi, Daniele. 2020. ""Partisan Shocks and Financial Markets: Evidence from Close National Elections."" American Economic Journal: Applied Economics, 12 (4): 224-52. ",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/FGJYU3,1,2,2019-12-11 18:43:24+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/FHD6M2,1,1,2019-12-12 16:24:22+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/CJMKGX,1,3,2016-02-26 14:45:39+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/CJSSTK,2,0,2016-09-06 17:14:06+00:00,CC0,CC0 Waiver,,"PSI data are available upon request. Please complete the electronic <a href=""http://www.psi.org/research/ethics-data-use-and-authorship/data-use-and-authorship/"" target=""_blank"">Data Request & Authorship form</a>.  If you are a PSI employee, please <a href=""mailto:""research@psi.org"" target=""_blank"">Contact Us</a> to gain access to these materials.",,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/CBYXBY,6,2,2021-03-10 10:29:27+00:00,CC0,CC0 Waiver,,,,"Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/CRZVKO,1,0,2020-01-28 15:41:01+00:00,CC0,CC0 Waiver,,," At present, this folder only contains de-identified individual-level datasets to run the analyses reported in the paper. We have sought permission from our host institutions to do so, out of concern for the privacy of the students. By using any of the resources in these repositories, you agree not to make public any data that could be used to identify an individual. This includes any attempt to re-identify a student using this dataset in combination with data from other sources. The full, raw datasets analyzed in this study are not publicly available to protect the privacy of individuals, and restrictions apply to the availability of these data, which are used under license from Harvard, MIT, and Stanford. The datasets are maintained separately by each institution. For more information, you can contact each institution at the following locations: http://ir.mit.edu/mitx-data-request-checklist https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RTVIEM https://online.stanford.edu/about-us",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/BVCLIY,1,0,2021-06-28 20:13:20+00:00,CC0,CC0 Waiver,,,"The database and related data are for non-commercial, academic research purposes only. ",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/BVPQFH,1,3,2015-10-15 20:26:00+00:00,CC0,CC0 Waiver,,,,"International Food Policy Research Institute (IFPRI). 2015. Baseline evaluation of the impact of e-verification on counterfeit agricultural inputs and technology adoption in Uganda: Household survey. Washington, DC: International Food Policy Research Institute (IFPRI) [datasets]. <a href=""http://dx.doi.org/10.7910/DVN/BVPQFH""> http://dx.doi.org/10.7910/DVN/BVPQFH</a>",,,"<p>IFPRI adheres to the principle of unrestricted public access to its own final research outputs and will make such outputs freely available. The Institute encourages the use of the <b>Baseline evaluation of the impact of e-verification on counterfeit agricultural inputs and technology adoption in Uganda: Household survey</b> dataset; for detailed information on its use, please refer to <a href=""http://www.ifpri.org/ourwork/about/intellectual-property"">IFPRI’s Intellectual Property Policy</a>. The data files in this dataset are unit record or ‘raw’ data files. Information that would allow survey respondents to be identified has been deleted from the files, but all other information remains. IFPRI’s decision not to alter the contents of the data files  means that the user of these files will need to take care in handling missing observations, outliers, and violations of logical consistency. </p>

<p>The data are provided ‘as is’ and in no event shall IFPRI be liable for any damages resulting from use of the data. While great effort was taken to obtain high-quality data, the accuracy or reliability of the data is not guaranteed or warranted in any way.</P>"
Harvard Dataverse,https://doi.org/10.7910/DVN/BUJUJP,1,0,2020-05-22 17:13:53+00:00,CC0,CC0 Waiver,,,"The database and related data are for non-commercial, academic research purposes only. ",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/BXXWWW,1,1,2018-12-11 16:31:07+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/BPON3K,1,1,2019-06-26 18:04:53+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/BPQ4F4,1,1,2019-12-12 16:31:58+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/BRRZSK,1,1,2019-06-26 19:33:14+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/DI2NCU,1,0,2019-07-16 12:36:09+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/DI2CJC,1,0,2016-05-13 21:08:52+00:00,CC0,CC0 Waiver,,"PSI data are available upon request. Please complete the data request form and return it to PSI Research &amp; Metrics:
<a href=""http://psi.org/resources/research-metrics/publications/other-resource/data-request-form"">Data Request Form</a>",,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/DJ2DPZ,1,1,2017-10-11 19:24:52+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/DTFR60,1,1,2017-04-30 20:55:24+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/DTQVUN,1,0,2019-07-15 21:38:07+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/DWXQ7F,1,0,2019-03-26 16:13:03+00:00,CC0,CC0 Waiver,,,,"STATEMENT TO INCLUDE: “The Shing Mun Tunnel and Fort McHenry Tunnel study was funded by the Health Effects Institute and conducted by the study investigators (PI: Dr. X. Wang). The opinions and conclusions contained in this publication are solely those of the authors, and are not endorsed by HEI.”",,"TERMS AND CONDITIONS FOR PUBLICATIONS RESULTING FROM THIS RESEARCH: Prompt publication of the results of the Research Project is encouraged. 1. The Researcher agrees to send HEI a copy of any abstract and any manuscript accepted for publication in its final form no later than 15 days after acceptance. 2. The Researcher agrees to acknowledge the Health Effects Institute, and the study investigators in all oral and written presentations and publications resulting from the analyses of the database as specified above in Citation Requirements. I have read and agree with the Terms and Conditions for Publications Resulting from This Research.",
Harvard Dataverse,https://doi.org/10.7910/DVN/DW2IUT,1,0,2020-02-24 22:58:35+00:00,CC0,CC0 Waiver,,"Written permission is required in order to use all or parts of this dataset in scientific publications.

Please contact Navid Bazghaleh (navid.bazghaleh@usask.ca) or Bobbi.helgason (bobbi.helgason@usask.ca) via email to receive written permission.",,"Bazghaleh, N., Mamet, S.D., Bell, J.K., Moreira, Z.M., Taye, Z.M., Williams, S., Arcand, M., Lamb, E.G., Shirtliffe, S., Vail, S. and Siciliano, S.D., 2020. An intensive multilocation temporal dataset of fungal communities in the root and rhizosphere of Brassica napus. Data in Brief, p.105467.",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/DSDNX6,1,1,2017-04-30 21:19:01+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/CVVDQJ,1,1,2019-09-25 16:33:22+00:00,CC0,CC0 Waiver,,,,Cite: data.gouv.fr website,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/D8JH3E,1,1,2019-12-12 16:33:30+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/D89QTD,1,0,2019-08-22 22:48:03+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com.",
Harvard Dataverse,https://doi.org/10.7910/DVN/D5DEHM,1,1,2019-06-26 18:31:01+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/DBLB8K,1,2,2021-03-19 18:23:27+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/IIYGGX,1,2,2017-03-26 20:01:28+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/IXWZZO,1,1,2017-05-14 17:58:35+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/INXGMT,1,3,2016-08-17 19:34:40+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/HPB1CA,1,2,2017-03-26 19:25:40+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/HOKEMF,2,1,2021-07-14 16:40:00+00:00,CC0,CC0 Waiver,,,,Must cite the paper if used.,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/HIQ4BV,1,1,2019-06-24 19:14:54+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/HLSCDG,1,0,2017-09-05 18:03:42+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/I4KVD1,1,1,2019-06-27 14:32:03+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/I0C8SZ,1,0,2019-07-16 12:25:25+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/I2HBV1,1,0,2019-05-14 17:46:30+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/I1HVCJ,1,2,2019-11-21 16:50:17+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/IYZWUD,1,4,2017-03-26 19:48:55+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/JZ2Z1P,1,0,2019-05-29 17:29:09+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/JXCJ0U,1,0,2018-04-26 19:12:50+00:00,CC0,CC0 Waiver,,,,"STATEMENT TO INCLUDE: “The MOSES study was funded by the Health Effects Institute and conducted by the MOSES study investigators (Drs. J. Balmes, P. Bromberg and M. Frampton and co-investigators Drs. M. Arjomandi, M.Hazucha, and D. Rich). The opinions and conclusions contained in this publication are solely those of the authors, and are not endorsed by the MOSES Study Investigators or HEI.”",,"TERMS AND CONDITIONS FOR PUBLICATIONS RESULTING FROM THIS RESEARCH: Prompt publication of the results of the Research Project is encouraged. 1. The Researcher agrees to send the MOSES study Principal Investigators a copy of any abstract and any manuscript accepted for publication in its final form no later than 15 days after acceptance. 2. The Researcher agrees to acknowledge the Health Effects Institute, and the MOSES investigators in all oral and written presentations and publications resulting from the analyses of the MOSES database as specified above in Citation Requirements. I have read and agree with the Terms and Conditions for Publications Resulting from This Research. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/JX22HP,1,2,2019-12-11 18:29:08+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/K233EA,1,1,2020-09-13 21:55:42+00:00,CC0,CC0 Waiver,,,"The database and related data are for non-commercial, academic research purposes only. ",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/JTV6W6,1,1,2019-06-26 18:47:06+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/KG2APR,1,1,2021-07-28 19:39:02+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/KDTKC0,1,0,2021-06-09 11:54:39+00:00,CC0,CC0 Waiver,,,,"Quote as follow: Replication data comes from the project “Bridging the gap between public opinion and European leadership: Engaging a dialogue on the future path of Europe EUENGAGE” (H2020-EURO-2014-2015/H2020-EURO-SOCIETY-2014, Grant no. 649281) funded by the European Union’s Horizon 2020 research and innovation programme. ",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/K7OCDX,1,1,2019-06-24 19:25:07+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/K6ZOOW,1,2,2017-04-23 18:46:50+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/KAQVNP,1,3,2017-04-23 19:42:37+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/JBJITN,3,0,2020-03-27 10:09:50+00:00,CC0,CC0 Waiver,,,,,,,"This data was collected by field assistants and might not be representative of the actual information on the ground. We can not guarantee the accuracy of any report, publication or article written using this data. In addition, the data from Hombolo Tanzania Is not consistent  and any one who uses it bears all the risk. The Alliance of Bioversity and CIAT and the authors are not responsible for any information or results from the use of this data.  "
Harvard Dataverse,https://doi.org/10.7910/DVN/JCICNL,1,0,2018-10-02 06:23:14+00:00,CC0,CC0 Waiver,,,,"Please cite the dataset together with the related article: Maria Luisa Damiani, Fatima Hachem, Hamza Issa, Nathan Ranc, Paul Moorcroft, Francesca Cagnacci. Cluster-based trajectory segmentation with local noise. Data Mining and Knowledge Discovery 32(4): 1017-1055 (2018) doi: https://doi.org/10.1007/s10618-018-0561-2",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/JAJ3CP,1,3,2020-09-02 16:21:14+00:00,CC0,CC0 Waiver,,,,"Cowgill, B., Dell'Acqua, F., Deng, S., Hsu, D., Verma, N., & Chaintreau, A. (2020, July). Biased Programmers? Or Biased Data? A Field Experiment in Operationalizing AI Ethics. In Proceedings of the 21st ACM Conference on Economics and Computation (pp. 679-681).
",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/JECPN8,1,1,2021-04-09 19:18:46+00:00,CC0,CC0 Waiver,,,,"AGAGE data come from the AGAGE Network (Prinn et al., 2018) where monthly means  are extracted from the AGAGE 12-box model, into which the AGAGE data has been assimilated (Rigby, M. et al., 2013).  Please cite: 
Prinn, R. G., Weiss, R. F., Arduini, J., Arnold, T., Langley Dewitt, H., Fraser, P. J., et al. (2018). History of chemically and radiatively important atmospheric gases from the Advanced Global Atmospheric Gases Experiment (AGAGE). Earth System Science Data, 10(2), 985–1018. https://doi.org/10.5194/essd-10-985-2018

Rigby, M., Prinn, R. G., O’Doherty, S., Montzka, S. A., McCulloch, A., Harth, C. M., et al. (2013). Re-evaluation of the lifetimes of the major CFCs and Biogeosciences CH 3 CCl 3 using atmospheric trends, 13, 2691–2702. https://doi.org/10.5194/acp-13-2691-2013

ACE data come from Bernath et al. (2017). The Atmospheric Chemistry Experiment (ACE). Journal of Quantitative Spectroscopy and Radiative Transfer, 186, 3–16. https://doi.org/10.1016/j.jqsrt.2016.04.006

WACCM ensemble come from Stone, K. A., Solomon, S., & Kinnison, D. E. (2018). On the Identification of Ozone Recovery. Geophysical Research Letters, 45(10), 5158–5165. https://doi.org/10.1029/2018GL077955",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/J9Q6DE,1,0,2020-05-22 00:02:24+00:00,CC0,CC0 Waiver,,,Not for commercial use,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/J2FA5R,1,1,2019-06-20 14:49:36+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/J0CL9O,1,0,2020-02-10 17:29:20+00:00,CC0,CC0 Waiver,,"Use of survey questions requires written permission by Shruthi Mahalingaiah, MD, MS at shruthi@hsph.harvard.edu
All images are copywrighted by Renee Cannon, rcannon@medcomstudios.com (medical illustrator). Interested users must contact Ms. Renee Cannon for permission to use images and licensing fees.",,"For use of questions, please cite link to this dataset as well as the corresponding manuscript (manuscript in preparation).",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/J4L4UC,1,0,2021-06-12 18:27:28+00:00,CC0,CC0 Waiver,,,This data can be used with citation,This data can be used with citation,,This data can be used with citation,
Harvard Dataverse,https://doi.org/10.7910/DVN/JMAQLD,1,1,2019-12-12 16:22:46+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/JMFHTN,1,2,2018-09-08 00:53:20+00:00,CC0,CC0 Waiver,,,,"If you are using this data and method please cite the following paper:

Asgari, Ehsaneddin and Mofrad Mohmmad R.K. ""Continuous Distributed Representation of Biological Sequences for Deep Proteomics and Genomics"". PloS one (2015). In Press.",,,
